"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW";"MaStR-Nr. der zugeordneten Migrationseinheit"
"SEE937121845473";"Zörbig 04";"In Betrieb";"Wind";"850";"850";"15.12.2003";"6.5.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Zörbig";"Fl 8 Fls 177";"15082340";"51,639972";"12,17425";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"74";"50";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"25.9.2019";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"ABR990953457030";"Volleinspeisung";"SGE955403225911";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL944200270873";"EEG998775394694";"E41081010000000000000000000005040";"15.12.2003";"";"";"";"";"";""
"SEE974734766566";"Löberitz 03";"In Betrieb";"Wind";"850";"850";"11.12.2003";"6.5.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Löberitz";"Fl 6 Fls 128";"15082340";"51,663694";"12,185417";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"74";"50";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"25.9.2019";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"ABR990953457030";"Volleinspeisung";"SGE913510344642";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL944200270873";"EEG943723048235";"E41081010000000000000000000005043";"11.12.2003";"";"";"";"";"";""
"SEE988888614758";"Zörbig 02";"In Betrieb";"Wind";"850";"850";"16.12.2003";"6.5.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Zörbig";"Flur 8: Flurstück 220";"15082340";"51,63675";"12,165361";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"74";"50";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"19.4.2021";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"ABR990953457030";"Volleinspeisung";"SGE955403225911";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL950135305894";"EEG965046543914";"E41081010000000000000000000005038";"16.12.2003";"";"";"";"";"";""
"SEE935107666050";"WKA Cösitz";"In Betrieb";"Wind";"2000";"2000";"26.6.2010";"15.7.2020";"Sachsen-Anhalt";"06369";"Weißandt-Gölzau";"";"";"Weißandt-Gölzau";"Flur:3 Flurstück 68";"15082377";"50,784937";"23,260567";"";"";"WKA Cösitz";"78";"80";"Vestas Deutschland GmbH";"Vestas V 80";"";"";"Horizontalläufer";"Windkraft an Land";"9.12.2020";"";"";"WKA Rauch KG";"ABR959613567052";"Volleinspeisung";"SGE949831043728";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL913585330618";"EEG924677795000";"E41081010000000000000000000137726";"26.6.2010";"";"";"";"";"";""
"SEE962933482875";"78118";"In Betrieb";"Wind";"2000";"2000";"17.8.2006";"18.6.2019";"Sachsen-Anhalt";"06779";"Raguhn-Jeßnitz";"";"";"Raguhn";"Flur 1: Flurstück 14";"15082015";"51,71423";"12,243475";"";"";"WSB Windpark Jeßnitz GmbH & Co. KG";"114";"71";"ENERCON GmbH";"E 70";"";"";"Horizontalläufer";"Windkraft an Land";"7.5.2021";"";"";"WSB Windpark Jeßnitz GmbH & Co. KG";"ABR996507748333";"Volleinspeisung";"SGE954064007317";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL952583666480";"EEG963874658381";"E41081010000000000000000000013814";"17.8.2006";"";"";"";"";"";""
"SEE954038225433";"Löberitz 01";"In Betrieb";"Wind";"850";"850";"10.12.2003";"6.5.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Löberitz";"Flur 6: Flurstück 123";"15082340";"51,662778";"12,187806";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"74";"50";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"22.4.2021";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"ABR990953457030";"Volleinspeisung";"SGE913510344642";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL907318476094";"EEG980096357083";"E41081010000000000000000000005041";"10.12.2003";"";"";"";"";"";""
"SEE922496714851";"ENO 821012";"In Betrieb";"Wind";"2050";"2050";"30.1.2014";"10.4.2019";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Zerbst";"Flur 17, Flurstück 34";"15082430";"51,987756";"12,118608";"";"";"Zerbst";"80";"82";"eno energy GmbH";"eno82";"";"";"Horizontalläufer";"Windkraft an Land";"9.6.2021";"";"";"Better Energy Zerbst GmbH & Co. KG c/o BDO AG";"ABR970554841315";"Volleinspeisung";"SGE968263438513";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL964869907750";"EEG997834868152";"E4187802EA02000000000055574200001";"30.1.2014";"";"";"";"";"";""
"SEE908361671535";"ENO 821011";"In Betrieb";"Wind";"2050";"2050";"29.1.2014";"10.4.2019";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Zerbst";"Flur 17, Flurstück 28";"15082430";"51,989281";"12,121467";"";"";"Zerbst";"80";"82";"eno energy GmbH";"eno82";"";"";"Horizontalläufer";"Windkraft an Land";"9.6.2021";"";"";"Better Energy Zerbst GmbH & Co. KG c/o BDO AG";"ABR970554841315";"Volleinspeisung";"SGE968263438513";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL964869907750";"EEG944583226047";"E4187802EA01000000000055574200001";"29.1.2014";"";"";"";"";"";""
"SEE904971836616";"78120";"In Betrieb";"Wind";"2000";"2000";"4.8.2006";"18.6.2019";"Sachsen-Anhalt";"06779";"Raguhn-Jeßnitz";"";"";"Raguhn";"Flur 1: Flurstück 25";"15082015";"51,710313";"12,246969";"";"";"WSB Windpark Jeßnitz GmbH & Co. KG";"114";"71";"ENERCON GmbH";"E 70";"";"";"Horizontalläufer";"Windkraft an Land";"7.5.2021";"";"";"WSB Windpark Jeßnitz GmbH & Co. KG";"ABR996507748333";"Volleinspeisung";"SGE954064007317";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL944415848393";"EEG928988056553";"E41081010000000000000000000013815";"4.8.2006";"";"";"";"";"";""
"SEE946500148326";"Zörbig 03";"In Betrieb";"Wind";"850";"850";"16.12.2003";"6.5.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Zörbig";"Flur 8: Flurstück 229";"15082340";"51,638111";"12,173194";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"74";"50";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"22.4.2021";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"ABR990953457030";"Volleinspeisung";"SGE955403225911";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL902393151010";"EEG990211233314";"E41081010000000000000000000005039";"16.12.2003";"";"";"";"";"";""
"SEE938489643831";"WEA 441223";"In Betrieb";"Wind";"600";"600";"20.6.2002";"5.6.2019";"Sachsen-Anhalt";"06794";"Glebitzsch";"";"";"Beyersdorf";"Flur 8 Flurstück 2";"15082340";"51,60512";"12,15993";"";"";"Windpark Beyersdorf";"65";"44";"ENERCON GmbH";"E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"21.5.2021";"";"";"Heiwista Konzept GmbH & Co. Windpark Beyersdorf KG";"ABR938556944502";"Volleinspeisung";"SGE941152008752";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL983748603200";"EEG976452627044";"E41081010000000000000000000004485";"20.6.2002";"";"";"";"";"";""
"SEE926331180368";"Löberitz 02";"In Betrieb";"Wind";"850";"850";"17.12.2003";"6.5.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Löberitz";"Flur 6: Flurstück 121";"15082340";"51,665222";"12,185417";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"74";"50";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"22.4.2021";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"ABR990953457030";"Volleinspeisung";"SGE913510344642";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL961831101826";"EEG959674830386";"E41081010000000000000000000005042";"17.12.2003";"";"";"";"";"";""
"SEE914687099212";"66095";"In Betrieb";"Wind";"1500";"1500";"5.4.2000";"8.7.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Großzörberitz";"Flur8: 12/1";"15082340";"51,63159";"12,170211";"";"";"Zoerbig";"98";"66";"ENERCON GmbH";"E-66/15.66";"";"";"Horizontalläufer";"Windkraft an Land";"1.2.2021";"";"";"ENERCON Windpark GmbH & Co. Großzöberitz II KG";"ABR979707323906";"Volleinspeisung";"SGE981180746981";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL966345855654";"EEG999083550369";"E41081010000000000000000000004505";"5.4.2000";"";"";"";"";"";""
"SEE984102557306";"ENO 821013";"In Betrieb";"Wind";"2050";"2050";"30.1.2014";"10.4.2019";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Zerbst";"Flur 17, Flurstück 16";"15082430";"51,985683";"12,1225";"";"";"Zerbst";"80";"82";"eno energy GmbH";"eno82";"";"";"Horizontalläufer";"Windkraft an Land";"9.6.2021";"";"";"Better Energy Zerbst GmbH & Co. KG c/o BDO AG";"ABR970554841315";"Volleinspeisung";"SGE968263438513";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL964869907750";"EEG985630035304";"E4187802EA03000000000055574200001";"30.1.2014";"";"";"";"";"";""
"SEE963513975237";"2. Wohlsdorf";"In Betrieb";"Wind";"1800";"1800";"26.8.2003";"13.9.2019";"Sachsen-Anhalt";"06366";"Köthen";"Dessauer Straße (Köthen)";"";"";"";"15082180";"51,766589";"11,849594";"";"";"WP Wohlsdorf/Poley";"98";"70";"ENERCON GmbH";"E66 18.70";"";"";"Horizontalläufer";"Windkraft an Land";"12.3.2021";"";"";"Sunset Alpha GmbH & Co.KG";"ABR908587457722";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL995079778243";"EEG969386283288";"E41081010000000000000000000004665";"26.8.2003";"";"";"";"";"";""
"SEE968644058248";"Löberitz 04";"In Betrieb";"Wind";"850";"850";"10.12.2003";"6.5.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Löberitz";"Flur 6: Flurstück 130";"15082340";"51,665361";"12,17425";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"74";"50";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"22.4.2021";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"ABR990953457030";"Volleinspeisung";"SGE913510344642";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL916838587234";"EEG926981161816";"E41081010000000000000000000005044";"10.12.2003";"";"";"";"";"";""
"SEE958155552458";"AN-1300-906-04";"In Betrieb";"Wind";"1300";"1300";"13.2.2003";"9.8.2019";"Sachsen-Anhalt";"06420";"Könnern";"Windpark";"908";"";"";"15082377";"51,689722";"11,795556";"";"";"Könnern I";"80";"62";"Bonus Energy A/S";"AN Bonus 62";"";"";"Horizontalläufer";"Windkraft an Land";"12.5.2021";"";"";"PROKON Regenerative Energien eG";"ABR989393706204";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL943068408398";"EEG917858234221";"E41081010000000000000000000005402";"17.6.2003";"";"";"";"";"";""
"SEE966045592491";"223762 - WEA 24";"In Betrieb";"Wind";"3600";"3600";"5.7.2019";"12.7.2019";"Sachsen-Anhalt";"06388";"Gröbzig";"";"";"Wörbzig";"4 und 1005";"15082377";"51,709074";"11,907807";"";"";"WP Wörbzig Repowering I";"149";"136";"Vestas Deutschland GmbH";"V136-3,6MW NH149m";"";"";"Horizontalläufer";"Windkraft an Land";"10.6.2021";"";"";"WEB Windpark Wörbzig GmbH & Co. KG";"ABR949205937202";"Volleinspeisung";"SGE974005662382";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung; Hochspannung";"SEL979164048251";"EEG959657976414";"E41081010000000000000000000268031";"5.7.2019";"WIN17-2/065";"";"";"";"";""
"SEE987811486141";"702327";"In Betrieb";"Wind";"2000";"2000";"30.5.2005";"18.6.2019";"Sachsen-Anhalt";"06780";"Zörbig";"Ackerstraße";"901 A";"";"";"15082440";"51,704324";"12,221549";"";"";"WSB Windpark Thurland GmbH & Co. KG";"98";"70";"ENERCON GmbH";"E 66 20.70";"";"";"Horizontalläufer";"Windkraft an Land";"10.6.2021";"";"";"WSB Windpark Thurland GmbH & Co. KG";"ABR929523838474";"Volleinspeisung";"SGE947795746464";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL908147495157";"EEG915113428125";"E41081010000000000000000000004441";"30.5.2005";"";"";"";"";"";""
"SEE980611582969";"78116";"In Betrieb";"Wind";"2000";"2000";"11.9.2006";"28.5.2019";"Sachsen-Anhalt";"06779";"Raguhn-Jeßnitz";"";"";"Salzfurtkapelle";"Flur 3: Flurstück 136";"15082015";"51,70113";"12,227551";"";"";"WSB Windpark Salzfurtkapelle GmbH & Co. KG";"114";"71";"ENERCON GmbH";"E 70";"";"";"Horizontalläufer";"Windkraft an Land";"14.4.2021";"";"";"WSB Windpark Salzfurtkapelle Gmbh & Co. KG";"ABR903679788357";"Volleinspeisung";"SGE980837616585";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL955538934351";"EEG989120734104";"E41081010000000000000000000013811";"11.9.2006";"";"";"";"";"";""
"SEE991462554869";"AN-1300-870-01";"In Betrieb";"Wind";"1300";"1300";"6.2.2003";"9.8.2019";"Sachsen-Anhalt";"06420";"Könnern";"Windpark";"912";"";"";"15082377";"51,687222";"11,806944";"";"";"Könnern I";"80";"62";"Siemens Wind Power GmbH & Co. KG";"AN Bonus 62";"";"";"Horizontalläufer";"Windkraft an Land";"23.4.2021";"";"";"PROKON Regenerative Energien eG";"ABR989393706204";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL991418628507";"EEG943575207538";"E41081010000000000000000000005399";"19.6.2003";"";"";"";"";"";""
"SEE981194330565";"Löberitz 05";"In Betrieb";"Wind";"850";"850";"19.12.2003";"6.5.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Löberitz";"Fl 6 Fls 131";"15082340";"51,667333";"12,197278";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"74";"50";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"25.9.2019";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"ABR990953457030";"Volleinspeisung";"SGE913510344642";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL944200270873";"EEG996461712371";"E41081010000000000000000000005045";"19.12.2003";"";"";"";"";"";""
"SEE934955530353";"78121";"In Betrieb";"Wind";"2000";"2000";"2.8.2006";"18.6.2019";"Sachsen-Anhalt";"06779";"Raguhn-Jeßnitz";"";"";"Raguhn";"Flur 1: Flurstück 32";"15082015";"51,707019";"12,249005";"";"";"WSB Windpark Jeßnitz GmbH & Co. KG";"114";"71";"ENERCON GmbH";"E 70";"";"";"Horizontalläufer";"Windkraft an Land";"7.5.2021";"";"";"WSB Windpark Jeßnitz GmbH & Co. KG";"ABR996507748333";"Volleinspeisung";"SGE954064007317";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL930074746415";"EEG991257140499";"E41081010000000000000000000013816";"2.8.2006";"";"";"";"";"";""
"SEE986426258648";"78117";"In Betrieb";"Wind";"2000";"2000";"8.8.2006";"18.6.2019";"Sachsen-Anhalt";"06779";"Raguhn-Jeßnitz";"";"";"Raguhn";"Flur 1: Flurstück 53";"15082015";"51,712193";"12,237561";"";"";"WSB Windpark Jeßnitz GmbH & Co. KG";"114";"71";"ENERCON GmbH";"E 70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"11.5.2021";"";"";"WSB Windpark Jeßnitz GmbH & Co. KG";"ABR996507748333";"Volleinspeisung";"SGE954064007317";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL950641868951";"EEG937175528629";"E41081010000000000000000000013813";"8.8.2006";"";"";"";"";"";""
"SEE936860383277";"AN-2300-126-11";"In Betrieb";"Wind";"2300";"2300";"7.11.2003";"9.8.2019";"Sachsen-Anhalt";"06420";"Könnern";"Windpark";"902";"";"";"15082377";"51,698333";"11,799722";"";"";"Könnern II";"90";"82";"Siemens Wind Power GmbH & Co. KG";"AN Bonus 82";"";"";"Horizontalläufer";"Windkraft an Land";"8.4.2021";"";"";"PROKON Regenerative Energien eG";"ABR989393706204";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL970682922962";"EEG990242376608";"E41081010000000000000000000005297";"7.11.2003";"";"";"";"";"";""
"SEE926415316843";"223763 - WEA 25";"In Betrieb";"Wind";"3600";"3600";"5.7.2019";"12.7.2019";"Sachsen-Anhalt";"06388";"Gröbzig";"";"";"Wörbzig";"4 und 1005";"15082377";"51,70612";"11,918836";"";"";"WP Wörbzig Repowering I";"149";"136";"Vestas Deutschland GmbH";"V136-3,6MW NH149m";"";"";"Horizontalläufer";"Windkraft an Land";"10.6.2021";"";"";"WEB Windpark Wörbzig GmbH & Co. KG";"ABR949205937202";"Volleinspeisung";"SGE974005662382";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung; Hochspannung";"SEL979164048251";"EEG940610637428";"E41081010000000000000000000268032";"5.7.2019";"WIN17-2/065";"";"";"";"";""
"SEE998481728912";"66094";"In Betrieb";"Wind";"1500";"1500";"16.11.1999";"8.7.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Großzörberitz";"Flur8: 52/1";"15082340";"51,631696";"12,173847";"";"";"Zoerbig";"98";"66";"ENERCON GmbH";"E-66/15.66";"";"";"Horizontalläufer";"Windkraft an Land";"3.3.2021";"";"";"ENERCON Windpark GmbH & Co. Großzöberitz I KG";"ABR919291617456";"Volleinspeisung";"SGE956868704935";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL941088947569";"EEG944459815368";"E41081010000000000000000000004504";"16.11.1999";"";"";"";"";"";""
"SEE961102341562";"78119";"In Betrieb";"Wind";"2000";"2000";"1.9.2006";"28.5.2019";"Sachsen-Anhalt";"06779";"Raguhn-Jeßnitz";"";"";"Thurland";"Flur 3: Flurstück 22 / 2";"15082015";"51,709021";"12,227938";"";"";"WSB Windpark Salzfurtkapelle GmbH & Co. KG";"85";"71";"ENERCON GmbH";"E 70";"";"";"Horizontalläufer";"Windkraft an Land";"14.4.2021";"";"";"WSB Windpark Salzfurtkapelle Gmbh & Co. KG";"ABR903679788357";"Volleinspeisung";"SGE980837616585";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL975810071055";"EEG937768822332";"E41081010000000000000000000013812";"1.9.2006";"";"";"";"";"";""
"SEE925258359444";"AN-2300-202-12";"In Betrieb";"Wind";"2300";"2300";"21.11.2003";"9.8.2019";"Sachsen-Anhalt";"06420";"Könnern";"Windpark";"901Z";"";"";"15082377";"51,684722";"11,808889";"";"";"Könnern II";"90";"82";"Siemens Wind Power GmbH & Co. KG";"AN Bonus";"";"";"Horizontalläufer";"Windkraft an Land";"8.4.2021";"";"";"PROKON Regenerative Energien eG";"ABR989393706204";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL972274308567";"EEG997365435618";"E41081010000000000000000000005296";"21.11.2003";"";"";"";"";"";""
"SEE904618802905";"WEA 441222";"In Betrieb";"Wind";"600";"600";"21.6.2002";"5.6.2019";"Sachsen-Anhalt";"06794";"Glebitzsch";"";"";"Beyersdorf";"Flur 8 Flurstück 2";"15082340";"51,60315";"12,16038";"";"";"Windpark Beyersdorf";"65";"44";"ENERCON GmbH";"E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"11.11.2019";"";"";"Heiwista Konzept GmbH & Co. Windpark Beyersdorf KG";"ABR938556944502";"Volleinspeisung";"SGE941152008752";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL922390320059";"EEG996557126372";"E41081010000000000000000000004484";"21.6.2002";"";"";"";"";"";""
"SEE935968776400";"823738";"In Betrieb";"Wind";"2300";"2300";"22.12.2011";"6.8.2019";"Sachsen-Anhalt";"06369";"Trebbichau";"";"";"Trebbichau";"Flur 2: 1004";"15082377";"51,666837";"11,966383";"";"";"Trebbichau";"108";"82";"ENERCON GmbH";"E 82-E2";"";"";"Horizontalläufer";"Windkraft an Land";"17.5.2021";"";"";"Windpark GmbH & Co. Trebbichau KG";"ABR941567438915";"Volleinspeisung";"SGE938369341529";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Hochspannung";"SEL919989189371";"EEG972635405119";"E41081010000000000000000000152880";"22.12.2011";"";"";"";"";"";""
"SEE973941647347";"66097";"In Betrieb";"Wind";"1500";"1500";"27.4.2000";"8.7.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Großzörberitz";"Flur8: 118";"15082340";"51,632897";"12,168829";"";"";"Zoerbig";"98";"66";"ENERCON GmbH";"E-66/15.66";"";"";"Horizontalläufer";"Windkraft an Land";"1.2.2021";"";"";"ENERCON Windpark GmbH & Co. Großzöberitz II KG";"ABR979707323906";"Volleinspeisung";"SGE981180746981";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL912082238168";"EEG907024220424";"E41081010000000000000000000004507";"27.4.2000";"";"";"";"";"";""
"SEE963921145024";"Zerbst I";"In Betrieb";"Wind";"1500";"1500";"27.12.2005";"22.12.2019";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Zerbst";"17, Flurstücke 58 und 61";"15082430";"51,983623";"12,114508";"";"";"Zerbst";"80";"80";"GE Renewable Germany GmbH";"1,5 sl";"";"";"Horizontalläufer";"Windkraft an Land";"22.12.2019";"";"";"WKN Windkraft Nord GmbH & Co. Windpark Zerbst KG";"ABR969952508081";"";"SGE990173794670";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL918664202848";"EEG994993230233";"E418780200000E0000000005092900010";"27.12.2005";"";"";"";"";"";""
"SEE960961885736";"823741";"In Betrieb";"Wind";"2300";"2300";"22.6.2012";"6.8.2019";"Sachsen-Anhalt";"06369";"Trebbichau";"";"";"Trebbichau";"Flur1: 109";"15082377";"51,662702";"11,944881";"";"";"Trebbichau";"108";"82";"ENERCON GmbH";"E-82";"";"";"Horizontalläufer";"Windkraft an Land";"27.1.2021";"";"";"Windpark GmbH & Co. Trebbichau KG";"ABR941567438915";"Volleinspeisung";"SGE938369341529";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Hochspannung";"SEL992886630313";"EEG982511770637";"E41081010000000000000000000152882";"22.6.2012";"";"";"";"";"";""
"SEE924194181119";"66096";"In Betrieb";"Wind";"1500";"1500";"7.4.2000";"8.7.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Großzörberitz";"Flur8: 119";"15082340";"51,63473";"12,168368";"";"";"Zoerbig";"98";"66";"ENERCON GmbH";"E-66/15.66";"";"";"Horizontalläufer";"Windkraft an Land";"1.2.2021";"";"";"ENERCON Windpark GmbH & Co. Großzöberitz II KG";"ABR979707323906";"Volleinspeisung";"SGE981180746981";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL905132151630";"EEG933124502504";"E41081010000000000000000000004506";"7.4.2000";"";"";"";"";"";""
